City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ushuaia,-54.8,-68.3,19.0,68,0,1.03,AR,1612921963
New Norfolk,-42.7826,147.0587,21.67,42,0,1.34,AU,1612922789
Ribeira Grande,38.5167,-28.7,15.68,85,100,7.25,PT,1612922789
Atuona,-9.8,-139.0333,26.42,74,0,7.68,PF,1612922789
Kapaa,22.0752,-159.319,22.0,53,90,8.75,US,1612921962
Cherskiy,68.75,161.3,-19.03,85,0,1.19,RU,1612922789
Jamestown,42.097,-79.2353,-8.0,79,90,3.6,US,1612922501
Manama,26.2154,50.5832,17.0,88,1,6.17,BH,1612922549
Saint Paul Harbor,57.79,-152.4072,1.0,86,90,4.71,US,1612922175
Hofn,64.2539,-15.2082,0.52,95,100,3.35,IS,1612922789
Khatanga,71.9667,102.5,-25.76,84,0,3.22,RU,1612922789
Donskoy,53.9711,38.3363,-17.16,94,80,2.8,RU,1612922790
Makakilo City,21.3469,-158.0858,25.0,41,1,5.14,US,1612922790
Oleksandrivka,48.9634,32.2349,-3.94,96,100,3.56,UA,1612922790
Beloha,-25.1667,45.05,23.94,84,100,2.37,MG,1612922790
Huron,41.1501,-82.5499,-11.11,88,85,2.28,US,1612922790
Busselton,-33.65,115.3333,17.78,62,0,2.24,AU,1612922161
Cidreira,-30.1811,-50.2056,23.66,82,8,7.62,BR,1612922790
Rikitea,-23.1203,-134.9692,26.34,69,52,2.82,PF,1612922253
Ilulissat,69.2167,-51.1,-8.0,45,0,5.66,GL,1612922791
Bluff,-46.6,168.3333,13.18,84,100,9.63,NZ,1612922791
Punta Arenas,-53.15,-70.9167,17.0,63,0,2.06,CL,1612922175
Hobart,-42.8794,147.3294,21.67,42,20,2.06,AU,1612922192
Ulladulla,-35.35,150.4667,19.0,88,75,4.63,AU,1612922791
Barrow,71.2906,-156.7887,-30.0,69,1,7.72,US,1612922791
Colomiers,43.6167,1.35,6.11,93,0,1.54,FR,1612922791
Lüderitz,-26.6481,15.1594,19.4,71,0,5.55,NA,1612922791
Albany,42.6001,-73.9662,-5.56,88,7,3.43,US,1612922146
Ayna,-12.65,-73.9167,16.46,79,99,1.05,PE,1612922792
Faya,18.3851,42.4509,8.0,87,0,1.68,SA,1612922255
Mahébourg,-20.4081,57.7,25.0,83,40,1.54,MU,1612922255
Grand Gaube,-20.0064,57.6608,23.89,84,17,0.45,MU,1612922792
Rongcheng,30.634,117.8517,11.81,73,100,1.2,CN,1612922792
Faanui,-16.4833,-151.75,27.74,73,0,5.77,PF,1612922792
Tuktoyaktuk,69.4541,-133.0374,-39.0,67,20,2.06,CA,1612922256
Mataura,-46.1927,168.8643,9.92,93,100,4.75,NZ,1612922171
Yellowknife,62.456,-114.3525,-22.22,77,90,5.14,CA,1612922254
Pandan,14.0453,124.1694,24.11,86,100,4.83,PH,1612922792
Hong Kong,22.2855,114.1577,16.67,93,100,5.66,HK,1612922619
Hilo,19.7297,-155.09,22.0,68,75,6.69,US,1612922793
Djibouti,11.5,42.5,22.0,88,75,5.02,DJ,1612922793
Qaanaaq,77.484,-69.3632,-9.82,77,0,2.35,GL,1612922793
Atar,20.5169,-13.0499,16.53,29,0,3.55,MR,1612922793
Kupino,54.3663,77.2981,-24.91,89,100,4.61,RU,1612922793
Sakakah,29.9697,40.2064,11.0,71,0,2.45,SA,1612922793
San Quintín,30.4833,-115.95,13.53,75,100,3.21,MX,1612922693
Hermanus,-34.4187,19.2345,16.67,92,91,1.34,ZA,1612922175
Yar-Sale,66.8333,70.8333,-28.99,86,89,6.0,RU,1612922793
Grafton,42.207,-71.6856,-3.89,86,90,2.57,US,1612922794
Ulaanbaatar,47.9077,106.8832,-15.0,72,75,1.0,MN,1612922756
Upernavik,72.7868,-56.1549,-12.39,75,0,0.97,GL,1612922794
Alyangula,-13.8483,136.4192,30.0,70,100,3.09,AU,1612922794
Dikson,73.5069,80.5464,-33.94,86,98,4.16,RU,1612922794
Urmia,37.5527,45.0761,1.0,69,0,3.09,IR,1612922794
Bonavista,48.6499,-53.1147,-1.11,93,100,6.69,CA,1612922794
Cabo San Lucas,22.8909,-109.9124,20.0,77,1,6.69,MX,1612922252
Port Hardy,50.6996,-127.4199,2.0,69,75,1.03,CA,1612922794
Ketchikan,55.3422,-131.6461,-8.0,53,20,3.09,US,1612922717
Husavik,66.0449,-17.3389,-6.0,93,90,1.03,IS,1612922794
Vaini,-21.2,-175.2,26.0,89,75,10.8,TO,1612922794
Megion,61.0296,76.1136,-27.0,76,90,3.0,RU,1612922795
Vestmannaeyjar,63.4427,-20.2734,4.63,70,99,6.67,IS,1612922795
Frankenberg,51.0667,8.8,-13.89,84,38,1.03,DE,1612922795
Dunedin,-45.8742,170.5036,13.33,76,77,1.79,NZ,1612922795
Floresta,-8.6011,-38.5686,26.02,58,87,4.23,BR,1612922795
Lebu,-37.6167,-73.65,15.92,84,0,5.46,CL,1612922795
Port-Gentil,-0.7193,8.7815,27.27,80,36,2.18,GA,1612922795
Hithadhoo,-0.6,73.0833,27.76,82,63,6.4,MV,1612922795
Havøysund,70.9963,24.6622,-6.0,79,40,5.66,NO,1612922795
Arraial do Cabo,-22.9661,-42.0278,23.42,85,0,2.63,BR,1612922796
Olafsvik,64.8945,-23.7142,-2.67,97,100,8.75,IS,1612922796
Saint-Philippe,-21.3585,55.7679,26.0,57,0,3.09,RE,1612922796
Pangnirtung,66.1451,-65.7125,-14.72,77,0,1.44,CA,1612922774
Airai,-8.9266,125.4092,22.17,81,100,1.7,TL,1612922255
Bay Roberts,47.5999,-53.2648,-2.0,93,90,12.86,CA,1612922796
Tiksi,71.6872,128.8694,-25.25,83,100,1.87,RU,1612922796
Ashland,40.8167,-82.2665,-10.0,92,1,1.54,US,1612922516
Port Hueneme,34.1478,-119.1951,14.0,82,40,3.09,US,1612922796
Buin,-33.7333,-70.75,22.78,68,0,5.66,CL,1612922796
Butaritari,3.0707,172.7902,27.51,83,100,6.88,KI,1612922797
Longyearbyen,78.2186,15.6401,-8.0,86,75,1.03,SJ,1612922740
Glasgow,55.8652,-4.2576,-2.78,86,56,4.12,GB,1612922643
Chui,-33.6971,-53.4616,19.27,88,0,2.36,UY,1612921956
Geraldton,-28.7667,114.6,23.0,60,75,10.8,AU,1612922661
East London,-33.0153,27.9116,21.1,83,0,1.02,ZA,1612922148
Port Alfred,-33.5906,26.891,20.56,94,3,1.4,ZA,1612922252
High Rock,26.6208,-78.2833,23.79,88,0,1.65,BS,1612922799
Port Lincoln,-34.7333,135.8667,26.8,39,0,3.5,AU,1612922799
Severnoye,56.3491,78.3619,-26.72,88,98,3.28,RU,1612922799
Porto Walter,-8.2686,-72.7439,23.74,96,100,0.94,BR,1612922800
Mar del Plata,-38.0023,-57.5575,18.89,82,75,6.17,AR,1612922044
Grindavik,63.8424,-22.4338,0.0,100,90,3.09,IS,1612922800
Saskylakh,71.9167,114.0833,-32.17,82,0,3.81,RU,1612922800
Tura,25.5198,90.2201,18.75,37,74,0.9,IN,1612922800
