City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hermanus,-34.4187,19.2345,20.0,83,89,2.68,ZA,1612933982
Fortuna,40.5982,-124.1573,7.0,100,40,1.4,US,1612933982
Griffith,41.5284,-87.4237,-12.0,61,1,2.29,US,1612933731
Bluff,-46.6,168.3333,13.75,78,100,12.87,NZ,1612933982
Oromocto,45.8351,-66.4792,-14.0,66,1,2.06,CA,1612933983
Avarua,-21.2078,-159.775,28.0,78,20,1.54,CK,1612933983
Tuktoyaktuk,69.4541,-133.0374,-38.0,67,1,2.57,CA,1612933887
Ushuaia,-54.8,-68.3,17.0,72,0,1.54,AR,1612933983
Mahébourg,-20.4081,57.7,28.0,74,75,3.6,MU,1612933983
Ayan,56.45,138.1667,-10.82,86,81,6.06,RU,1612933983
Larsnes,62.2028,5.5773,-2.22,87,98,0.45,NO,1612933984
Bowen,-20.0167,148.2333,29.0,58,90,5.66,AU,1612933984
Chui,-33.6971,-53.4616,19.12,90,0,2.32,UY,1612933984
Hilo,19.7297,-155.09,22.0,68,90,4.63,US,1612933984
Tual,-5.6667,132.75,28.74,77,24,6.86,ID,1612933984
Port-Gentil,-0.7193,8.7815,27.2,82,74,2.58,GA,1612933984
Berlevåg,70.8578,29.0864,-6.0,73,40,8.75,NO,1612933984
Mataura,-46.1927,168.8643,14.69,73,100,3.83,NZ,1612933985
Punta Arenas,-53.15,-70.9167,13.0,76,75,2.57,CL,1612933985
Bredasdorp,-34.5322,20.0403,14.0,94,66,1.03,ZA,1612933985
Rikitea,-23.1203,-134.9692,25.97,72,74,3.64,PF,1612933985
Atuona,-9.8,-139.0333,26.27,78,83,9.52,PF,1612933985
Caravelas,-17.7125,-39.2481,23.34,84,92,2.21,BR,1612933985
Saskylakh,71.9167,114.0833,-31.57,82,0,4.44,RU,1612933985
Cidreira,-30.1811,-50.2056,23.25,81,14,7.46,BR,1612933871
Williams Lake,52.1415,-122.1445,-21.11,77,40,5.66,CA,1612933517
Chitral,35.8462,71.7858,8.28,42,0,2.94,PK,1612933986
Port Alfred,-33.5906,26.891,21.11,95,1,0.45,ZA,1612933986
Hambantota,6.1241,81.1185,28.0,65,0,4.63,LK,1612933986
Malang,-7.9797,112.6304,27.0,94,75,3.09,ID,1612933986
Saint-Philippe,-21.3585,55.7679,30.0,54,0,4.63,RE,1612933986
Palm Coast,29.585,-81.2078,18.33,100,1,1.2,US,1612933689
Verkh-Usugli,52.7,115.1667,-7.24,92,100,1.41,RU,1612933987
Cheyenne,41.14,-104.8203,0.56,58,1,3.81,US,1612933987
Hobart,-42.8794,147.3294,21.11,45,20,6.69,AU,1612933726
Vaini,-21.2,-175.2,26.0,100,75,7.72,TO,1612933987
Maţāy,28.419,30.7792,16.19,31,100,3.82,EG,1612933987
Barrow,71.2906,-156.7887,-29.0,69,1,8.23,US,1612933987
Busselton,-33.65,115.3333,20.56,59,1,2.24,AU,1612933987
Arraial do Cabo,-22.9661,-42.0278,22.34,88,10,1.97,BR,1612933987
Kapaa,22.0752,-159.319,20.0,60,90,4.63,US,1612933915
Atasū,48.6814,71.6433,-23.92,88,84,3.37,KZ,1612933988
Thompson,55.7435,-97.8558,-37.0,74,20,3.09,CA,1612933360
Nikolskoye,59.7035,30.7861,-17.22,84,20,1.0,RU,1612933988
Tommot,58.9564,126.2925,-13.35,91,98,2.06,RU,1612933988
Sangar,63.9242,127.4739,-25.27,88,0,1.01,RU,1612933988
Daura,11.5538,11.4085,17.05,29,77,3.87,NG,1612933988
Touros,-5.1989,-35.4608,25.0,88,0,2.06,BR,1612933988
Aitape,-3.1374,142.3475,28.56,78,99,3.85,PG,1612933988
Vestmanna,62.1564,-7.1664,-1.0,74,65,1.54,FO,1612933989
Aberdeen,57.1437,-2.0981,-5.0,80,100,3.09,GB,1612933976
Vardø,70.3705,31.1107,-8.0,86,40,5.66,NO,1612933989
Wattegama,6.7989,81.4808,28.0,65,0,4.63,LK,1612933989
Papenburg,53.0667,7.4,-4.0,86,49,2.06,DE,1612933989
Aklavik,68.2191,-135.0107,-37.0,67,1,1.54,CA,1612933989
Clyde River,70.4692,-68.5914,-19.0,92,1,3.6,CA,1612933989
Kenai,60.5544,-151.2583,-12.22,78,90,5.14,US,1612933989
Okha,53.5739,142.9478,-9.01,95,100,13.41,RU,1612933990
Teya,60.3778,92.6267,-19.55,85,100,4.69,RU,1612933990
Castro,-24.7911,-50.0119,13.47,98,98,2.44,BR,1612933990
Albany,42.6001,-73.9662,-6.0,86,90,5.14,US,1612933990
Lebu,-37.6167,-73.65,15.38,87,0,4.37,CL,1612933990
Mayo,38.8876,-76.5119,3.33,69,1,3.3,US,1612933990
Gulfport,30.3674,-89.0928,17.0,82,90,3.09,US,1612933800
Dubbo,-32.25,148.6167,28.0,34,40,4.12,AU,1612933990
Tautira,-17.7333,-149.15,26.0,73,75,5.66,PF,1612933991
Anadyr,64.75,177.4833,-16.0,66,0,7.0,RU,1612933991
Zhezkazgan,47.8043,67.7144,-19.08,81,71,0.96,KZ,1612933991
Salinas,36.6777,-121.6555,12.0,82,75,1.54,US,1612933888
Altay,47.8667,88.1167,-12.91,87,27,1.12,CN,1612933991
Tsiroanomandidy,-18.7667,46.0333,19.57,92,100,2.14,MG,1612933991
Cockburn Town,21.4612,-71.1419,24.85,79,6,9.32,TC,1612933992
La Santisima Trinidad,-14.8333,-64.9,21.92,97,100,3.49,BO,1612933980
Ludza,56.55,27.7167,-14.72,95,88,2.8,LV,1612933992
Kutum,14.2,24.6667,12.69,44,34,5.14,SD,1612933992
Isangel,-19.55,169.2667,28.53,65,1,5.43,VU,1612933992
Mount Gambier,-37.8333,140.7667,32.0,31,0,4.63,AU,1612933992
Baft,29.234,56.6057,10.33,33,0,0.65,IR,1612933992
San Patricio,28.017,-97.5169,22.0,94,90,4.12,US,1612933992
Qaanaaq,77.484,-69.3632,-10.81,79,0,4.76,GL,1612933993
Northam,51.0333,-4.2167,0.0,80,55,6.71,GB,1612933993
Bengkulu,-3.8004,102.2655,28.62,72,87,5.4,ID,1612933780
Tezu,27.9167,96.1667,27.3,16,0,1.78,IN,1612933993
Ponta Delgada,37.7333,-25.6667,16.11,94,75,10.29,PT,1612933993
Havelock,34.8791,-76.9013,11.11,100,1,1.54,US,1612933993
Cape Town,-33.9258,18.4232,20.56,88,0,5.14,ZA,1612933993
Lompoc,34.6391,-120.4579,8.0,93,75,1.86,US,1612933993
Kahului,20.8947,-156.47,22.0,53,40,7.72,US,1612933993
East London,-33.0153,27.9116,22.0,100,20,1.03,ZA,1612933994
Saint George,37.1041,-113.5841,12.78,37,90,0.48,US,1612933994
Coyhaique,-45.5752,-72.0662,17.0,63,0,1.54,CL,1612933994
Tarnogskiy Gorodok,60.4997,43.5761,-24.7,89,58,0.98,RU,1612933994
Souillac,-20.5167,57.5167,28.0,74,75,3.6,MU,1612933994
Lagoa,39.05,-27.9833,15.19,82,100,13.0,PT,1612933994
Jacareacanga,-6.2222,-57.7528,22.86,97,100,1.17,BR,1612933994
São Geraldo do Araguaia,-6.4006,-48.555,23.02,95,97,1.21,BR,1612933994
Saint Paul Harbor,57.79,-152.4072,2.0,75,90,1.54,US,1612933995
Kieta,-6.2167,155.6333,29.37,72,62,3.86,PG,1612933995
Karasjok,69.4719,25.5112,-8.0,79,0,5.66,NO,1612933995
Los Llanos de Aridane,28.6585,-17.9182,16.0,77,40,3.09,ES,1612933995
Isiro,2.7739,27.616,17.68,48,100,0.52,CD,1612933995
Anilao,12.714,121.5124,26.13,79,89,3.6,PH,1612933995
Paamiut,61.994,-49.6678,-3.01,84,100,3.37,GL,1612933995
Biak,-0.9131,122.8766,29.52,68,32,0.85,ID,1612933995
Fort Morgan,40.2503,-103.8,-10.0,85,40,3.6,US,1612933995
Narsaq,60.9167,-46.05,1.0,27,0,13.38,GL,1612933996
Hong Kong,22.2855,114.1577,17.22,88,100,0.45,HK,1612933273
Kenora,49.8167,-94.4337,-28.89,76,20,1.03,CA,1612933996
Torbay,47.6666,-52.7314,-1.67,93,90,14.4,CA,1612933996
São Filipe,14.8961,-24.4956,21.46,73,35,4.24,CV,1612933996
Ilulissat,69.2167,-51.1,-9.0,48,0,7.2,GL,1612933996
Kushiro,42.975,144.3747,-1.0,43,20,6.17,JP,1612933996
